x,y,z
10708.59808,100763.1741,445.076681
10708.19686,100763.3363,450.057915
10707.79853,100763.4895,455.039666
10707.39707,100763.6335,460.021444
10706.99248,100763.768,465.003229
10706.69353,100763.8609,468.659854
10741.03578,100750.1063,369.038185
10743.5074,100749.0587,365.596901
10740.60367,100750.5561,385.124182
10744.17863,100749.1639,383.091965
10720.58122,100757.9362,422.387728
10720.83596,100757.7569,427.378011
10721.09606,100757.5661,432.367593
10721.35909,100757.3648,437.356611
10721.62504,100757.1531,442.345043
10721.89393,100756.9311,447.332864
10722.16515,100756.7005,452.320176
10722.43551,100756.4721,457.307635
10722.64982,100756.293,461.279326
10726.40659,100755.6499,416.716011
10728.01213,100754.9567,421.400193
10729.63789,100754.2483,426.075141
10731.26475,100753.5328,430.748607
10732.89057,100752.8109,435.421459
10734.51536,100752.0826,440.093689
10736.1391,100751.348,444.765289
10737.76204,100750.6069,449.43613
10739.10405,100749.9884,453.297017
10731.41684,100753.6575,412.292613
10734.24622,100752.5495,416.293659
10737.08795,100751.475,420.295125
10739.93795,100750.4055,424.292034
10742.79468,100749.33,428.282529
10745.65812,100748.2485,432.266593
10748.52826,100747.161,436.244205
10751.40506,100746.0676,440.215368
10754.28795,100744.9681,444.180431
10730.85147,100759.4737,406.307466
10735.05248,100757.8365,408.468765
10739.2556,100756.1939,410.621798
10743.45613,100754.5441,412.774365
10747.65377,100752.8869,414.926937
10751.84851,100751.2224,417.079508
10756.04035,100749.5506,419.232072
10760.22907,100747.8686,421.382768
10762.93887,100746.77,422.771357
10787.97714,100863.6825,350.366035
10783.7059,100865.7011,348.728424
10779.43346,100867.7326,347.110005
10775.15923,100869.776,345.51141
10770.88329,100871.8312,343.932673
10766.60573,100873.8982,342.373828
10762.96601,100875.6652,341.063122
10807.74131,100854.444,323.529241
10804.26228,100856.0401,320.31229
10800.78504,100857.6467,317.098628
10797.30352,100859.2623,313.894154
10793.81617,100860.8866,310.700406
10790.32302,100862.5196,307.517414
10787.74174,100863.7301,305.175596
10833.55114,100842.8393,313.267615
10831.18814,100843.8606,308.981225
10828.81971,100844.8881,304.699333
10826.44586,100845.922,300.421956
10824.06656,100846.9626,296.149236
10821.68155,100848.0146,291.8825
10819.29076,100849.0792,287.622131
10816.89422,100850.1564,283.368167
10814.49196,100851.2462,279.120649
10812.08449,100852.3482,274.879216
10809.67704,100853.4578,270.639775
10807.3441,100854.5399,266.530089
10841.8133,100838.1814,300.920533
10840.05505,100838.9158,296.297855
10838.2914,100839.6625,291.679199
10836.52409,100840.4236,287.0643
10834.75606,100841.2028,282.452695
10832.98739,100842.0002,277.844438
10831.21811,100842.8157,273.239592
10829.44823,100843.6492,268.63822
10827.68079,100844.4999,264.039033
10825.92096,100845.3659,259.439794
10824.16881,100846.2472,254.840521
10822.42439,100847.1438,250.241267
10820.68771,100848.0556,245.642086
10818.95704,100848.9779,241.042724
10817.22946,100849.9026,236.442682
10815.5049,100850.8295,231.841956
10813.95471,100851.6661,227.698878
10780.30106,100866.5731,372.79053
10775.81885,100868.7511,372.382973
10771.34386,100870.9489,372.003255
10766.8763,100873.1663,371.651385
10762.41637,100875.4032,371.327378
10757.9643,100877.6596,371.031252
10753.51835,100879.9317,370.764393
10749.17395,100882.1633,370.533753
10743.62085,100761.0811,396.100006
10739.11255,100763.2433,396.100006
10734.60424,100765.4056,396.100006
10730.09594,100767.5678,396.100006
10726.43745,100769.3224,396.100006
10754.6234,100755.5464,395.878178
10759.24519,100753.6393,395.834545
10763.86699,100751.7322,395.790912
10767.56443,100750.2065,395.756006
10742.97634,100765.9938,396.086863
10738.36641,100767.9813,396.060578
10733.75647,100769.9688,396.034292
10729.14654,100771.9563,396.008006
10724.53661,100773.9439,395.981721
10754.14804,100761.5303,396.086916
10758.75652,100759.5909,396.060736
10763.365,100757.6515,396.034556
10767.97348,100755.7122,396.008377
10771.30403,100754.3106,395.989456
10742.07824,100771.9855,396.461074
10737.48472,100773.9564,396.583235
10732.8912,100775.9274,396.705396
10728.29768,100777.8983,396.827557
10723.70416,100779.8693,396.949718
10720.25626,100781.3487,397.041412
10743.25687,100771.1751,393.407816
10739.83302,100772.5254,390.023436
10736.40917,100773.8757,386.639057
10733.78787,100774.9094,384.047976
10753.25831,100767.0629,396
10757.96232,100765.1888,396
10762.66633,100763.3147,396
10767.37034,100761.4406,396
10772.07435,100759.5665,396
10753.29582,100767.5604,396
10758.01247,100765.6813,396
10762.72911,100763.8021,396
10767.44576,100761.923,396
