BHID,AT,DIP,BRG,Random Numeric
WP041,12.5,60,89,0.862639342
WP041,25,60,88,0.662079169
WP041,37.5,60,87,0.021094554
WP041,50,60,85.5,0.733673303
WP041,86.5,60,86.5,0.907597555
WP041,123,60,87.5,0.22153552
WP041,174,60,86.5,0.350375283
WP041,186.5,62,85.5,0.245413139
WP041,199,64,84.5,0.940784069
WP041,211.5,66,83.5,0.363965718
WP041,225,67,81.5,0.152772185
WP041,234.300003,67,80.5,0.925972841
WP041,243.600006,67,79.5,0.88480666
WP041,252.899994,66,78.5,0.484644063
WP041,262.200012,66,77.5,0.241719267
WP041,272.200012,66,76.5,0.850704832
WP041,282.200012,65,75.5,0.300354478
WP041,292.200012,65,74.5,0.651051791
WP041,302.200012,64,73.5,0.997425686
WP041,318.700012,64,72.5,0.656271496
WP041,335.200012,64.5,71.5,0.852081113
WP041,340.200012,63,70.5,0.219859102
WP041,345.200012,62,69.5,0.225438807
WP041,350.200012,61,68.5,0.955288797
WP041,355.200012,60,67.5,0.651002117
WP041,360.200012,59,66.5,0.658947287
WP041,365.200012,57,65.5,0.489041953
WP041,395.200012,53,64.5,0.030169826
WP041,400,53,90,0.032183884
WP043,0,70,270,0.550608468
WP043,347.899994,70,270,0.370001504
WP044,0,70,270,0.733903198
WP044,440.149994,70,270,0.849415706
WP045,0,70,271.5,0.827907704
WP045,30,70,271.5,0.515666583
WP045,79,71,271.5,0.369044999
WP045,121,70,272.5,0.696261269
WP045,172,70,272.5,0.044524865
WP045,172.949997,70,272.5,0.455665983
WP046,0,45,90,0.293602
WP046,314.350006,45,90,0.543935742
WP047,0,60,88.5,0.858687134
WP047,38,60,88.5,0.644096564
WP047,71,61,87.5,0.174041653
WP047,75.5,60.5,86.5,0.84072929
WP047,80,60,85.5,0.959374411
WP047,194.25,60,84.5,0.702748234
WP048,0,72,271.5,0.157137343
WP048,78,72,271.5,0.831641522
WP048,95,71.5,272.5,0.352853029
WP048,112,71,273.5,0.176404716
WP048,137.5,71,272.5,0.959193381
WP048,163,71,271.5,0.220447138
WP048,214,72,271.5,0.775540239
WP048,265,71,271.5,0.663112233
WP048,290.5,72,270.5,0.846399345
WP048,316,73,269.5,0.85101032
WP048,341.5,71,271,0.243786332
WP048,367,72,272.5,0.2356444
WP048,418,70,272.5,0.856572402
WP048,448,70,273.5,0.849176262
WP048,450.200012,70,273.5,0.414575922
WP049,0,71,267.5,0.124788934
WP049,84.550003,71,267.5,0.116638772
WP049,126.550003,72,268.5,0.256507146
WP049,152.050003,70,267,0.312858569
WP049,177.550003,69,265.5,0.802134361
WP049,203.050003,70,266.75,0.120116128
WP049,228.550003,72,268.5,0.959706015
WP049,254.050003,70,269.5,0.596042195
WP049,279.549988,71,270.5,0.747922471
WP049,394.200012,70,270,0.505949189
WP050,0,71,270.5,0.907427851
WP050,34,71,270.5,0.09303256
WP050,82,70,269.5,0.058394328
WP050,130,70,268.5,0.286547195
WP050,154,70,269.5,0.912964362
WP050,166,70,270.5,0.217361241
WP050,178,70,271.5,0.058633225
WP050,191.5,70,272.75,0.094297958
WP050,198.25,70,273.369995,0.151409726
WP050,205,70,274,0.908566368
WP050,232,70,276.5,0.338092875
WP050,259,70,275.5,0.020496533
WP050,286,70,274.5,0.18703178
WP050,334,70,275.5,0.498871934
WP050,420.399994,70,275.5,0.739300985
WP052,0,45,90,0.585616547
WP052,175.100006,45,90,0.250681548
WP053,0,72,272.5,0.192073514
WP053,44.549999,72,272.5,0.54811231
WP053,95.550003,72,272.5,0.973503185
WP053,146.550003,72,272.5,0.434038548
WP053,159.300003,72,271.5,0.941200227
WP053,172.050003,72,270.5,0.637542858
WP053,184.800003,72,269.5,0.941704464
WP053,197.550003,72,268.5,0.790390047
WP053,223.050003,72,267,0.493572968
WP053,248.550003,72,265.5,0.444533374
WP053,254.925003,72,266.380005,0.402877489
WP053,261.299988,72,267.25,0.85824028
WP053,267.674988,72,268.130005,0.3952959
WP053,274.049988,72,269,0.505987275
WP053,280.424988,72,269.880005,0.746175579
WP053,286.799988,72,270.75,0.225335581
WP053,293.174988,72,271.630005,0.762167968
WP053,299.549988,72,272.5,0.897156957
WP053,355.549988,72,272.5,0.790383024
WP054,0,70,270,0.884850233
WP054,326.75,70,270,0.581348758
WP055,0,62,87.5,0.853327377
WP055,69.449997,62,87.5,0.929714931
WP055,99.449997,61.5,88.5,0.378967231
WP055,129.449997,61,89.5,0.770794862
WP055,189.449997,61,90.5,0.933789594
WP055,194.25,61.5,88.5,0.659383605
WP056,0,71,271.5,0.641157088
WP056,47.849998,71,271.5,0.251819474
WP056,73.349998,71,270,0.144769075
WP056,98.849998,71,268.5,0.790602672
WP056,149.850006,71,269.5,0.601784437
WP056,175.350006,71,270.5,0.762509362
WP056,200.850006,71,271.5,0.920040254
WP056,240.850006,71,272.5,0.12564215
WP056,280.850006,71,273.5,0.994082446
WP056,287.225006,71,274.5,0.183829891
WP056,293.600006,71,275.5,0.78296437
WP056,299.975006,71,276.5,0.888934991
WP056,306.350006,71,277.5,0.203892925
WP056,312.725006,71,278.5,0.389576967
WP056,319.100006,71,279.5,0.440093132
WP056,325.475006,71,280.5,0.439363967
WP056,331.850006,71,281.5,0.876491292
WP056,336.350006,71,281.5,0.147009713
WP057,0,70,270,0.60383373
WP057,160.449997,70,270,0.897651903
WP058,0,70,270,0.441894286
WP058,105.449997,70,270,0.374549911
