X,Y,Z,Hole ID,CU_pct,AU_gpt,DENSITY
445304.274917,494109.668464,2926.976390,WP001,0.26,0.06,2.96
445305.560443,494109.657245,2925.444301,WP001,0.3,0.08,2.96
445306.845970,494109.646027,2923.912212,WP001,0.42,0.45,3.05
445308.131496,494109.634808,2922.380123,WP001,0.45,0.34,2.99
445309.417022,494109.623590,2920.848035,WP001,0.47,0.1,3.04
445310.702549,494109.612371,2919.315946,WP001,0.41,0.17,3.05
445311.988075,494109.601152,2917.783857,WP001,0.54,0.18,2.97
445313.273601,494109.589934,2916.251768,WP001,0.57,0.13,2.97
445314.559127,494109.578715,2914.719679,WP001,1.05,0.23,3.01
445315.844654,494109.567496,2913.187590,WP001,0.43,0.54,3.07
445317.130180,494109.556278,2911.655501,WP001,0.65,0.51,3
445318.415706,494109.545059,2910.123412,WP001,0.4,1.42,3.02
445319.701232,494109.533841,2908.591323,WP001,0.55,0.78,3.04
445320.986759,494109.522622,2907.059235,WP001,0.38,0.61,3.05
445322.272285,494109.511403,2905.527146,WP001,0.45,0.64,3.04
445323.557811,494109.500185,2903.995057,WP001,0.41,0.34,3.01
445324.859408,494109.488826,2902.443816,WP001,0.71,0.09,2.96
445195.918136,494109.674510,3050.931141,WP002,,,
445194.504407,494109.711530,3049.516928,WP002,0.95,1.24,3.14
445193.090678,494109.748549,3048.102714,WP002,1,1.73,3.2
445191.676949,494109.785569,3046.688501,WP002,0.95,2.35,3.15
445190.263220,494109.822589,3045.274287,WP002,1.16,1.68,3.34
445188.849491,494109.859609,3043.860074,WP002,0.66,1.89,3.23
445187.435762,494109.896629,3042.445860,WP002,0.5,1.71,3.12
445186.022033,494109.933648,3041.031646,WP002,1.06,2.54,3.17
445184.608304,494109.970668,3039.617433,WP002,0.41,3.16,3.12
445183.194575,494110.007688,3038.203219,WP002,0.47,1.28,3.14
445181.780846,494110.044708,3036.789006,WP002,0.65,1.3,3.24
445180.367117,494110.081728,3035.374792,WP002,0.54,1.42,3.12
